ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Selected_view,Selected_cls,Prediction,Accuracy,Oracle_view
0 (0.0),1 (0.2),0 (0.2),0 (0.2),0 (0.48),0 (0.16),0 (0.04),1 (0.16),0 (0.64),0 (0.08),0 (0.4),0 (0.32),1 (0.4),0 (0.12),0 (0.2),0,ALBERT,ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
0 (0.0),0 (0.08),0 (0.0),0 (0.04),0 (0.32),0 (0.2),0 (0.0),0 (0.2),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.48),0 (0.0),0 (0.0),0,"ALBERT,BERT,Falcon,Glove,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0, 0, 0, 0, 0)",TRUE,TRUE
1 (0.24),1 (0.56),1 (0.04),1 (0.2),1 (0.36),1 (0.08),1 (0.0),1 (0.28),0 (0.36),1 (0.0),1 (0.2),1 (0.16),1 (0.24),1 (0.0),1 (0.0),1,"Falcon,LLAMA,LLAMA3,MISTRAL",Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1)",TRUE,TRUE
0 (0.24),0 (0.04),0 (0.24),0 (0.16),0 (0.24),0 (0.4),0 (0.08),0 (0.48),0 (0.44),0 (0.2),0 (0.16),0 (0.24),0 (0.44),0 (0.24),0 (0.08),0,BART,BART,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
1 (0.2),1 (0.64),1 (0.0),1 (0.0),1 (0.16),1 (0.04),1 (0.0),1 (0.56),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.12),1 (0.0),1 (0.0),1,"BERT,DistilBERT,Falcon,Glove,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL",BERT,"BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.16),1 (0.2),1 (0.0),1 (0.0),1 (0.32),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1,"BERT,DistilBERT,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.0),1 (0.4),1 (0.12),1 (0.0),1 (0.08),1 (0.28),1 (0.04),1 (0.08),1 (0.08),1 (0.0),1 (0.44),1 (0.0),1 (0.28),1 (0.0),1 (0.0),1,"ALBERT,DistilBERT,LLAMA,W2V,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.4),0 (0.16),0 (0.04),0 (0.16),0 (0.16),0 (0.16),0 (0.04),0 (0.4),0 (0.28),0 (0.24),0 (0.24),0 (0.12),0 (0.4),0 (0.24),0 (0.28),0,"BERT,Falcon",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
1 (0.56),1 (0.28),0 (0.36),0 (0.32),1 (0.24),0 (0.24),0 (0.0),0 (0.2),1 (0.32),0 (0.12),0 (0.24),0 (0.28),1 (0.28),0 (0.08),0 (0.04),0,Falcon,Falcon,"KNN, LR, MLP","(0,)",TRUE,TRUE
0 (0.12),0 (0.32),0 (0.12),0 (0.0),0 (0.16),0 (0.2),0 (0.0),0 (0.24),0 (0.24),0 (0.04),0 (0.16),0 (0.04),0 (0.04),0 (0.0),0 (0.04),0,"DistilBERT,Falcon,LLAMA3",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0)",TRUE,TRUE
0 (0.04),0 (0.32),0 (0.36),0 (0.0),0 (0.6),1 (0.56),1 (0.28),1 (0.16),1 (0.12),1 (0.4),1 (0.32),1 (0.0),0 (0.36),0 (0.4),0 (0.48),0,"DistilBERT,W2V",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost","(0, 1)",TRUE,TRUE
0 (0.0),0 (0.4),0 (0.0),0 (0.0),0 (0.04),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.12),0 (0.0),0 (0.0),0 (0.0),0,"ALBERT,BERT,DistilBERT,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",TRUE,TRUE
1 (0.28),1 (0.36),1 (0.4),1 (0.36),0 (0.12),1 (0.16),1 (0.2),1 (0.2),0 (0.36),1 (0.16),1 (0.12),1 (0.2),1 (0.2),0 (0.12),0 (0.2),0,"ELECTRA,RoBERTa,LLAMA3",ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, RF, SVM","(0, 1, 0)",TRUE,TRUE
0 (0.24),0 (0.36),0 (0.16),0 (0.2),0 (0.32),0 (0.04),0 (0.0),0 (0.52),0 (0.2),0 (0.0),0 (0.08),0 (0.16),0 (0.2),0 (0.0),0 (0.0),0,"Falcon,LLAMA,LLAMA3,MISTRAL",Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0)",TRUE,TRUE
1 (0.2),1 (0.08),1 (0.12),1 (0.16),1 (0.28),1 (0.0),1 (0.0),1 (0.32),1 (0.0),1 (0.04),1 (0.2),1 (0.2),1 (0.2),1 (0.0),1 (0.08),1,"ELMO,Falcon,Glove,LLAMA3",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1)",TRUE,TRUE
0 (0.16),0 (0.24),0 (0.24),0 (0.08),0 (0.12),0 (0.12),0 (0.32),0 (0.48),0 (0.2),0 (0.2),0 (0.0),0 (0.04),0 (0.0),0 (0.0),0 (0.0),0,"RoBERTa,XLNET,LLAMA3,MISTRAL",RoBERTa,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost","(0, 0, 0, 0)",TRUE,TRUE
0 (0.16),0 (0.16),0 (0.28),0 (0.48),0 (0.32),0 (0.28),0 (0.0),0 (0.0),1 (0.36),0 (0.32),0 (0.16),1 (0.36),0 (0.36),0 (0.2),0 (0.2),0,"Falcon,Fasttext",Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
0 (0.24),0 (0.08),0 (0.48),0 (0.12),0 (0.2),0 (0.16),0 (0.0),0 (0.44),0 (0.04),0 (0.2),0 (0.64),0 (0.16),0 (0.16),0 (0.16),0 (0.04),0,Falcon,Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
1 (0.12),1 (0.08),1 (0.08),1 (0.04),1 (0.0),1 (0.08),1 (0.0),1 (0.28),1 (0.28),1 (0.0),1 (0.0),1 (0.24),1 (0.2),1 (0.0),1 (0.0),1,"ELECTRA,Falcon,LLAMA,RoBERTa,LLAMA3,MISTRAL",ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.2),1 (0.12),1 (0.04),1 (0.16),1 (0.28),0 (0.24),0 (0.04),1 (0.44),1 (0.04),1 (0.04),1 (0.36),1 (0.2),1 (0.28),1 (0.0),1 (0.0),1,"LLAMA3,MISTRAL",LLAMA3,"KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1)",TRUE,TRUE
1 (0.0),1 (0.4),1 (0.24),1 (0.08),1 (0.16),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.24),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,ELMO,Falcon,Fasttext,LLAMA,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.0),1 (0.32),1 (0.12),1 (0.0),1 (0.24),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1,"ALBERT,DistilBERT,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.0),0 (0.32),0 (0.16),0 (0.0),0 (0.0),0 (0.16),0 (0.0),0 (0.0),0 (0.0),0 (0.16),0 (0.28),0 (0.04),0 (0.44),0 (0.04),0 (0.04),0,"ALBERT,DistilBERT,ELECTRA,Falcon,Fasttext,Glove",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0, 0)",TRUE,TRUE
1 (0.0),1 (0.28),1 (0.0),1 (0.0),1 (0.12),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.56),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.32),0 (0.36),0 (0.12),0 (0.04),0 (0.12),0 (0.2),0 (0.28),0 (0.44),1 (0.2),0 (0.12),0 (0.04),0 (0.28),1 (0.32),0 (0.0),0 (0.12),0,LLAMA3,LLAMA3,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
0 (0.24),0 (0.16),1 (0.32),0 (0.12),0 (0.4),0 (0.36),1 (0.12),1 (0.08),0 (0.28),1 (0.2),0 (0.24),0 (0.12),1 (0.4),1 (0.08),1 (0.08),1,"Fasttext,LLAMA3,MISTRAL",Fasttext,"LR, NB, RF, XGBoost","(1, 1, 1)",TRUE,TRUE
1 (0.12),1 (0.08),1 (0.0),1 (0.0),1 (0.0),1 (0.08),1 (0.04),1 (0.2),1 (0.04),1 (0.04),1 (0.0),1 (0.0),1 (0.16),1 (0.04),1 (0.0),1,"BERT,DistilBERT,ELECTRA,RoBERTa,W2V,MISTRAL",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.28),1 (0.56),0 (0.12),0 (0.4),0 (0.2),0 (0.12),0 (0.16),0 (0.12),0 (0.24),0 (0.12),0 (0.04),0 (0.0),0 (0.12),0 (0.08),0 (0.24),0,W2V,W2V,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
0 (0.16),1 (0.44),1 (0.48),1 (0.52),0 (0.32),0 (0.2),1 (0.28),1 (0.2),0 (0.08),0 (0.4),1 (0.24),1 (0.28),0 (0.4),1 (0.4),1 (0.28),1,Glove,Glove,"KNN, XGBoost","(0,)",FALSE,TRUE
0 (0.0),1 (0.44),0 (0.2),0 (0.04),0 (0.16),0 (0.08),0 (0.04),0 (0.24),0 (0.32),0 (0.0),0 (0.16),0 (0.04),0 (0.2),0 (0.04),0 (0.0),0,"ALBERT,LLAMA,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0)",TRUE,TRUE
1 (0.0),1 (0.44),1 (0.28),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,DistilBERT,ELECTRA,ELMO,Falcon,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.28),0 (0.36),0 (0.48),0 (0.32),0 (0.48),0 (0.16),0 (0.08),1 (0.28),1 (0.32),0 (0.08),0 (0.6),1 (0.12),0 (0.28),1 (0.36),0 (0.28),0,"Falcon,LLAMA",Falcon,"KNN, LR, MLP","(0, 0)",TRUE,TRUE
1 (0.16),1 (0.48),1 (0.08),1 (0.16),1 (0.28),1 (0.2),1 (0.0),1 (0.2),1 (0.08),1 (0.08),1 (0.28),1 (0.2),1 (0.28),1 (0.04),1 (0.0),1,"Falcon,MISTRAL",Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1)",TRUE,TRUE
1 (0.16),1 (0.24),0 (0.16),0 (0.36),1 (0.32),1 (0.24),0 (0.2),0 (0.2),0 (0.52),0 (0.0),0 (0.28),0 (0.48),0 (0.2),0 (0.2),0 (0.16),0,LLAMA,LLAMA,"LR, MLP, SVM, XGBoost","(0,)",TRUE,TRUE
0 (0.04),0 (0.32),0 (0.12),0 (0.12),0 (0.24),0 (0.24),0 (0.0),0 (0.08),0 (0.16),0 (0.0),0 (0.16),0 (0.04),1 (0.0),0 (0.0),0 (0.0),0,"Falcon,LLAMA,XLNET,LLAMA3,MISTRAL",Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 1, 0, 0)",TRUE,TRUE
1 (0.32),1 (0.36),1 (0.52),1 (0.04),0 (0.04),1 (0.2),1 (0.44),1 (0.44),1 (0.4),1 (0.16),1 (0.2),1 (0.48),1 (0.56),0 (0.2),1 (0.28),0,"DistilBERT,ELECTRA",ELECTRA,"BiLSTM, CNN, LR, MLP, NB, RF, SVM","(1, 0)",TRUE,TRUE
1 (0.12),1 (0.32),1 (0.4),1 (0.04),0 (0.32),1 (0.16),0 (0.12),1 (0.16),1 (0.16),1 (0.4),1 (0.64),1 (0.0),1 (0.28),0 (0.08),1 (0.28),1,W2V,W2V,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1,)",TRUE,TRUE
1 (0.0),1 (0.28),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.32),1 (0.32),1 (0.32),1 (0.28),1 (0.2),1 (0.24),1 (0.0),1 (0.28),1 (0.12),1 (0.08),1 (0.08),1 (0.36),1 (0.32),1 (0.2),1 (0.0),1,"Falcon,MISTRAL",Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1)",TRUE,TRUE
1 (0.04),1 (0.48),1 (0.04),1 (0.0),1 (0.08),1 (0.04),1 (0.0),1 (0.16),1 (0.28),1 (0.16),1 (0.36),1 (0.0),1 (0.32),1 (0.16),1 (0.2),1,"DistilBERT,Falcon,W2V",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1)",TRUE,TRUE
1 (0.0),1 (0.24),1 (0.04),1 (0.0),1 (0.12),1 (0.0),1 (0.0),1 (0.2),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,DistilBERT,ELMO,Falcon,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.0),0 (0.0),0 (0.04),0 (0.52),0 (0.12),0 (0.32),0 (0.24),0 (0.24),0 (0.32),0 (0.44),0 (0.4),0 (0.28),0 (0.56),0 (0.12),0 (0.12),0,"ALBERT,BART",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
1 (0.12),1 (0.12),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.28),1 (0.0),1 (0.04),1,"BERT,DistilBERT,ELECTRA,ELMO,Fasttext,Glove,LLAMA,W2V,LLAMA3",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.16),0 (0.16),0 (0.16),0 (0.32),0 (0.24),0 (0.0),0 (0.08),0 (0.12),0 (0.4),0 (0.12),0 (0.24),0 (0.08),0 (0.0),0 (0.08),0 (0.24),0,"ELMO,XLNET",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
1 (0.08),1 (0.08),1 (0.32),1 (0.2),1 (0.2),1 (0.12),1 (0.04),1 (0.04),1 (0.28),1 (0.04),1 (0.0),1 (0.0),1 (0.4),1 (0.0),1 (0.0),1,"RoBERTa,W2V,LLAMA3,MISTRAL",RoBERTa,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1)",TRUE,TRUE
0 (0.32),0 (0.12),0 (0.08),0 (0.32),0 (0.2),0 (0.12),0 (0.08),0 (0.08),0 (0.04),0 (0.12),0 (0.4),0 (0.28),0 (0.44),0 (0.08),0 (0.0),0,MISTRAL,MISTRAL,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
0 (0.44),0 (0.44),0 (0.08),0 (0.4),0 (0.08),0 (0.16),0 (0.2),0 (0.04),0 (0.16),0 (0.12),0 (0.12),0 (0.28),0 (0.28),0 (0.08),0 (0.0),0,MISTRAL,MISTRAL,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
0 (0.24),0 (0.28),0 (0.32),0 (0.48),0 (0.24),0 (0.44),0 (0.48),0 (0.72),1 (0.08),0 (0.48),0 (0.08),0 (0.48),0 (0.52),0 (0.52),0 (0.52),0,"Glove,RoBERTa",RoBERTa,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 0)",TRUE,TRUE
0 (0.24),0 (0.0),1 (0.4),0 (0.08),0 (0.16),0 (0.12),0 (0.2),0 (0.28),1 (0.24),0 (0.16),0 (0.36),0 (0.08),0 (0.32),0 (0.16),0 (0.2),1,BART,BART,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",FALSE,TRUE
0 (0.16),0 (0.56),0 (0.0),0 (0.28),1 (0.12),0 (0.24),0 (0.24),0 (0.0),0 (0.08),0 (0.16),0 (0.16),0 (0.16),0 (0.24),0 (0.24),1 (0.28),0,"BERT,Fasttext",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
0 (0.16),0 (0.2),0 (0.04),0 (0.28),0 (0.44),0 (0.24),0 (0.2),0 (0.48),0 (0.28),0 (0.56),0 (0.6),0 (0.48),0 (0.52),0 (0.2),0 (0.24),0,BERT,BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
0 (0.32),0 (0.32),1 (0.32),0 (0.16),1 (0.4),0 (0.2),0 (0.2),0 (0.2),0 (0.28),0 (0.0),0 (0.16),0 (0.36),0 (0.2),0 (0.2),0 (0.0),0,"LLAMA,MISTRAL",LLAMA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
1 (0.04),1 (0.36),1 (0.04),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"DistilBERT,ELMO,Falcon,Fasttext,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.08),1 (0.36),0 (0.24),0 (0.28),0 (0.44),0 (0.4),0 (0.12),0 (0.32),1 (0.52),1 (0.36),0 (0.16),0 (0.52),0 (0.32),0 (0.16),0 (0.08),0,"ALBERT,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
1 (0.0),1 (0.04),1 (0.04),1 (0.0),1 (0.2),1 (0.0),1 (0.0),1 (0.08),1 (0.28),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,DistilBERT,ELMO,Falcon,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.32),1 (0.32),1 (0.44),1 (0.16),1 (0.04),1 (0.28),1 (0.32),1 (0.24),1 (0.24),1 (0.4),1 (0.32),1 (0.32),1 (0.12),1 (0.4),1 (0.08),1,ELECTRA,ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, XGBoost","(1,)",TRUE,TRUE
1 (0.0),1 (0.4),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.0),1 (0.2),1 (0.08),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELMO,Falcon,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.0),0 (0.04),0 (0.0),0 (0.0),0 (0.08),0 (0.0),0 (0.04),0 (0.08),0 (0.16),0 (0.08),0 (0.0),0 (0.04),0 (0.12),0 (0.0),0 (0.0),0,"ALBERT,BERT,DistilBERT,ELMO,RoBERTa,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0, 0, 0)",TRUE,TRUE
1 (0.28),0 (0.32),1 (0.28),1 (0.0),0 (0.2),1 (0.24),1 (0.16),1 (0.28),1 (0.4),1 (0.32),1 (0.16),1 (0.52),1 (0.28),0 (0.28),1 (0.04),1,DistilBERT,DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1,)",TRUE,TRUE
1 (0.4),1 (0.28),1 (0.2),0 (0.28),0 (0.24),1 (0.72),0 (0.24),0 (0.2),0 (0.24),0 (0.0),0 (0.36),1 (0.2),1 (0.0),0 (0.36),0 (0.36),1,"LLAMA,XLNET",XLNET,"BiLSTM, CNN, MLP","(0, 1)",TRUE,TRUE
0 (0.04),1 (0.32),1 (0.04),0 (0.2),0 (0.52),0 (0.0),0 (0.0),0 (0.2),0 (0.0),0 (0.0),0 (0.52),0 (0.04),0 (0.12),0 (0.0),0 (0.0),0,"ELMO,Falcon,Glove,LLAMA,LLAMA3,MISTRAL",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0, 0)",TRUE,TRUE
1 (0.28),1 (0.48),1 (0.32),1 (0.0),1 (0.24),1 (0.2),1 (0.0),1 (0.28),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.4),1 (0.0),1 (0.0),1,"DistilBERT,Falcon,Glove,LLAMA,W2V,LLAMA3,MISTRAL",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.04),0 (0.4),0 (0.08),0 (0.12),0 (0.4),0 (0.0),0 (0.12),0 (0.12),0 (0.28),0 (0.0),0 (0.16),0 (0.24),0 (0.2),0 (0.0),0 (0.0),0,"ELMO,LLAMA,LLAMA3,MISTRAL",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0)",TRUE,TRUE
1 (0.08),1 (0.4),1 (0.04),1 (0.0),1 (0.04),1 (0.12),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.2),1 (0.0),1 (0.0),1,"DistilBERT,Falcon,Fasttext,Glove,LLAMA,W2V,LLAMA3,MISTRAL",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.0),1 (0.16),0 (0.0),0 (0.0),0 (0.16),0 (0.04),0 (0.04),0 (0.08),0 (0.52),0 (0.0),0 (0.0),0 (0.24),0 (0.08),0 (0.0),0 (0.0),0,"ALBERT,BERT,DistilBERT,LLAMA,RoBERTa,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0, 0, 0)",TRUE,TRUE
1 (0.08),1 (0.28),1 (0.16),1 (0.28),1 (0.28),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
