ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Prediction,Selected_view,Selected_cls,Accuracy,Oracle_view
3 (0.8),2 (0.68),3 (0.72),3 (0.72),3 (0.96),5 (0.68),3 (0.72),4 (0.84),3 (0.76),4 (0.84),3 (0.84),3 (0.72),1 (0.76),3 (0.8),3 (0.72),5,"BART,ELMO","(2, 5)",ELMO,"BiLSTM, CNN, LR, MLP, XGBoost",TRUE,TRUE
4 (0.68),4 (0.88),3 (0.68),4 (0.72),5 (0.92),4 (0.76),5 (0.72),4 (0.76),3 (0.72),4 (0.68),4 (0.64),4 (0.56),1 (0.84),4 (0.88),3 (0.84),5,W2V,"(4,)",W2V,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, RF, SVM, XGBoost",FALSE,TRUE
5 (0.8),0 (0.84),0 (0.72),4 (0.88),3 (0.8),0 (0.8),0 (0.92),1 (0.76),4 (0.88),4 (0.76),4 (0.84),1 (0.8),0 (0.88),4 (0.72),1 (0.8),2,"BERT,LLAMA3","(0, 4)",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, SVM",FALSE,FALSE
3 (0.92),4 (0.88),3 (0.84),3 (0.88),3 (0.84),4 (0.84),4 (0.84),4 (0.8),3 (0.68),3 (0.76),5 (0.84),3 (0.6),1 (0.84),3 (0.72),3 (0.76),5,W2V,"(3,)",W2V,"AdaBoost, BiLSTM, CNN, KNN, LR, RF, SVM, XGBoost",FALSE,TRUE
1 (0.92),3 (0.76),2 (0.8),0 (0.88),1 (0.84),0 (0.68),0 (0.84),1 (0.76),2 (0.84),0 (0.68),1 (0.76),1 (0.76),2 (0.72),0 (0.84),1 (0.8),0,"ELMO,LLAMA","(0, 0)",ELMO,"BiLSTM, CNN, KNN, NB",TRUE,TRUE
1 (0.88),3 (0.76),3 (0.64),3 (0.76),3 (0.72),3 (0.76),3 (0.92),4 (0.8),2 (0.8),4 (0.92),3 (0.68),1 (0.92),3 (0.8),3 (0.84),3 (0.68),5,BERT,"(3,)",BERT,"BiLSTM, CNN, KNN, LR, RF",FALSE,FALSE
3 (0.72),3 (0.92),3 (0.76),3 (0.84),0 (0.84),2 (0.8),0 (0.88),2 (0.84),0 (0.84),0 (0.68),0 (0.68),1 (0.84),0 (0.76),2 (0.8),1 (0.72),2,"LLAMA,RoBERTa","(0, 0)",LLAMA,"BiLSTM, CNN, NB, RF, SVM, XGBoost",FALSE,TRUE
4 (0.68),1 (0.84),5 (0.84),1 (0.88),4 (0.88),4 (0.8),3 (0.76),4 (0.84),1 (0.72),2 (0.84),4 (0.88),3 (0.84),5 (0.76),5 (0.8),4 (0.92),2,ALBERT,"(4,)",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, SVM, XGBoost",FALSE,TRUE
3 (0.8),4 (0.92),4 (0.72),4 (0.84),3 (0.64),2 (0.76),3 (0.76),3 (0.8),4 (0.64),4 (0.84),3 (0.84),4 (0.68),4 (0.88),3 (0.76),3 (0.64),3,"ELECTRA,Glove,MISTRAL","(3, 4, 3)",ELECTRA,"AdaBoost, XGBoost",TRUE,TRUE
1 (0.84),3 (0.8),0 (0.76),2 (0.88),1 (0.84),3 (0.8),3 (0.72),1 (0.84),1 (0.76),0 (0.76),0 (0.84),3 (0.84),1 (0.84),0 (0.92),1 (0.8),0,Falcon,"(3,)",Falcon,"AdaBoost, BiLSTM, CNN, LR, MLP, RF, SVM, XGBoost",FALSE,TRUE
1 (0.8),3 (0.92),0 (0.8),0 (0.76),1 (0.68),1 (0.96),1 (0.76),0 (0.68),1 (0.72),1 (0.68),1 (0.84),0 (0.76),1 (0.88),1 (0.92),1 (0.72),0,"ELECTRA,Fasttext,LLAMA","(1, 0, 1)",Fasttext,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, SVM, XGBoost",TRUE,TRUE
5 (0.92),3 (0.72),3 (0.84),4 (0.72),3 (0.84),4 (0.76),4 (0.8),4 (0.72),3 (0.84),3 (0.64),4 (0.64),4 (0.76),5 (0.68),4 (0.88),4 (0.8),3,"LLAMA,RoBERTa","(3, 4)",LLAMA,"AdaBoost, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
5 (0.88),1 (0.8),1 (0.88),4 (0.88),4 (0.88),5 (0.56),4 (0.56),0 (0.8),0 (0.76),0 (0.88),4 (0.92),0 (0.92),0 (0.88),0 (0.84),3 (0.76),4,"ELMO,Falcon","(5, 4)",Falcon,"AdaBoost, BiLSTM, CNN, RF, SVM, XGBoost",TRUE,TRUE
2 (0.84),3 (0.84),0 (0.88),4 (0.92),2 (0.88),0 (0.76),3 (0.84),2 (0.88),4 (0.84),0 (0.72),4 (0.72),1 (0.88),2 (0.72),1 (0.84),4 (0.84),0,"LLAMA,RoBERTa,XLNET","(0, 4, 2)",LLAMA,"KNN, LR, MLP, NB, XGBoost",TRUE,TRUE
3 (0.64),0 (0.8),0 (0.84),0 (0.76),4 (0.8),1 (0.92),2 (0.8),4 (0.8),2 (0.92),0 (0.8),3 (0.88),2 (0.84),0 (0.68),3 (0.88),5 (0.84),5,ALBERT,"(3,)",ALBERT,"BiLSTM, CNN, KNN, NB, RF, SVM",FALSE,TRUE
1 (0.72),1 (0.88),2 (0.84),2 (0.96),1 (0.84),4 (0.72),4 (0.72),4 (0.8),4 (0.76),4 (0.72),1 (0.88),1 (0.92),4 (0.76),1 (0.72),4 (0.84),3,"ALBERT,ELMO,Falcon,LLAMA,LLAMA3","(1, 4, 4, 4, 1)",Falcon,"AdaBoost, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,FALSE
1 (0.52),1 (0.72),1 (0.48),1 (0.6),1 (0.6),1 (0.56),1 (0.84),1 (0.68),1 (0.8),1 (0.68),1 (0.52),1 (0.68),1 (0.52),1 (0.56),1 (0.56),1,BERT,"(1,)",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
4 (0.96),4 (0.84),4 (0.64),4 (0.72),4 (0.68),4 (0.6),1 (0.8),4 (0.92),4 (0.68),4 (0.72),4 (0.8),4 (0.84),1 (0.72),4 (0.76),1 (0.8),3,ELMO,"(4,)",ELMO,"BiLSTM, CNN, KNN, MLP, XGBoost",FALSE,FALSE
3 (0.8),2 (0.84),2 (0.6),3 (0.8),1 (0.88),3 (0.84),4 (0.76),3 (0.8),3 (0.84),1 (0.76),1 (0.84),1 (0.72),3 (0.6),4 (0.76),1 (0.96),2,"BERT,XLNET","(2, 3)",BERT,"AdaBoost, BiLSTM, CNN, LR, NB, RF, SVM, XGBoost",TRUE,TRUE
3 (0.84),3 (0.96),0 (0.8),1 (0.88),2 (0.92),1 (0.84),3 (0.84),3 (0.72),1 (0.84),3 (0.8),3 (0.72),1 (0.84),1 (0.72),2 (0.8),2 (0.92),3,"Fasttext,RoBERTa,XLNET","(3, 3, 1)",Fasttext,"AdaBoost, BiLSTM, CNN, KNN, SVM",TRUE,TRUE
2 (0.72),3 (0.72),3 (0.84),2 (0.68),1 (0.92),2 (0.84),3 (0.76),1 (0.8),3 (0.72),2 (0.92),1 (0.76),2 (0.8),2 (0.84),3 (0.68),2 (0.84),5,"DistilBERT,LLAMA3","(2, 3)",DistilBERT,"BiLSTM, CNN, KNN, MLP, NB, SVM",FALSE,FALSE
1 (0.76),1 (0.88),2 (0.72),1 (0.76),4 (0.88),1 (0.84),1 (0.72),1 (0.72),1 (0.8),1 (0.96),0 (0.8),1 (0.8),1 (0.76),1 (0.88),1 (0.76),3,"BERT,Falcon,Fasttext","(2, 1, 1)",BERT,"KNN, MLP, NB, XGBoost",FALSE,FALSE
4 (0.84),4 (0.88),4 (0.6),5 (0.88),4 (0.72),5 (0.84),4 (0.88),4 (0.84),4 (0.8),4 (0.8),4 (0.8),5 (0.8),4 (0.8),4 (0.92),4 (0.72),4,BERT,"(4,)",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
1 (0.72),1 (0.92),1 (0.92),1 (0.72),0 (0.92),1 (0.84),1 (0.56),1 (0.52),3 (0.84),1 (0.76),1 (0.8),3 (0.88),4 (0.72),1 (0.8),1 (0.76),1,Fasttext,"(1,)",Fasttext,"AdaBoost, KNN, RF, SVM, XGBoost",TRUE,TRUE
5 (0.92),2 (0.88),5 (0.64),5 (0.8),3 (0.88),1 (0.84),5 (0.76),5 (0.76),0 (0.68),0 (0.64),0 (0.8),5 (0.8),0 (0.84),4 (0.72),5 (0.84),1,"BERT,LLAMA","(5, 0)",BERT,"AdaBoost, BiLSTM, CNN, LR, MLP, XGBoost",FALSE,TRUE
0 (0.72),1 (0.64),5 (0.8),5 (1.0),0 (0.84),3 (0.64),3 (0.8),4 (0.72),4 (0.76),3 (0.76),2 (0.76),3 (0.8),0 (0.84),2 (0.84),2 (0.76),1,"BART,ELMO","(1, 3)",BART,"AdaBoost, MLP, NB",TRUE,TRUE
1 (0.92),3 (0.88),1 (0.96),2 (0.68),3 (0.96),2 (0.88),2 (0.68),1 (0.76),1 (0.8),1 (0.64),1 (0.8),4 (0.8),3 (0.64),0 (0.84),1 (0.8),3,"LLAMA,XLNET","(1, 3)",XLNET,"BiLSTM, CNN, NB, SVM",TRUE,TRUE
3 (0.8),2 (0.84),2 (0.88),3 (0.64),1 (0.8),0 (0.56),2 (0.76),3 (0.72),1 (0.88),3 (0.72),2 (0.72),3 (0.84),1 (0.68),1 (0.68),2 (0.76),0,ELMO,"(0,)",ELMO,"AdaBoost, KNN, XGBoost",TRUE,TRUE
5 (0.72),3 (0.84),5 (0.84),5 (0.68),1 (0.72),1 (0.8),4 (0.88),5 (0.88),3 (0.84),4 (0.76),3 (0.72),1 (0.84),1 (0.96),4 (0.88),5 (0.84),0,DistilBERT,"(5,)",DistilBERT,"BiLSTM, CNN, KNN, NB, RF, SVM, XGBoost",FALSE,FALSE
1 (0.96),3 (0.88),1 (0.68),1 (0.92),3 (0.84),3 (0.84),1 (0.84),1 (0.76),4 (0.88),4 (0.8),4 (0.88),4 (0.88),3 (0.84),3 (0.8),4 (0.64),5,MISTRAL,"(4,)",MISTRAL,"BiLSTM, CNN, LR, MLP, NB, SVM, XGBoost",FALSE,FALSE
1 (0.76),1 (0.88),1 (0.72),5 (0.92),1 (0.6),2 (0.88),4 (0.76),5 (0.8),4 (0.64),4 (0.84),3 (0.84),3 (0.64),4 (0.8),3 (0.76),1 (0.84),1,ELECTRA,"(1,)",ELECTRA,"AdaBoost, KNN, LR, RF, SVM, XGBoost",TRUE,TRUE
1 (0.84),3 (0.84),3 (0.96),1 (0.68),4 (0.84),2 (0.76),4 (0.88),4 (0.76),3 (0.96),3 (0.84),1 (0.84),3 (1.0),2 (0.76),2 (0.76),4 (0.76),1,DistilBERT,"(1,)",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, SVM",TRUE,TRUE
0 (0.76),4 (0.72),0 (0.76),4 (0.76),1 (0.8),2 (0.72),2 (0.56),3 (0.76),1 (0.72),1 (0.76),3 (0.56),3 (0.76),2 (0.8),2 (0.8),3 (0.8),2,"Falcon,RoBERTa","(2, 3)",Falcon,"BiLSTM, CNN, KNN, NB, XGBoost",TRUE,TRUE
0 (0.88),1 (0.72),2 (0.92),0 (0.6),1 (0.88),1 (0.32),2 (0.84),1 (0.84),1 (0.76),2 (0.88),0 (0.92),0 (0.88),3 (0.84),2 (0.88),0 (0.6),4,ELMO,"(1,)",ELMO,"AdaBoost, BiLSTM, CNN, KNN, MLP, NB, RF, XGBoost",FALSE,FALSE
1 (0.88),1 (0.92),2 (0.72),0 (0.68),3 (0.84),2 (0.84),3 (0.88),2 (0.76),2 (0.6),3 (0.84),3 (0.84),3 (0.8),1 (0.92),3 (0.84),2 (0.92),2,Glove,"(2,)",Glove,KNN,TRUE,TRUE
5 (0.92),4 (0.88),1 (0.84),5 (0.8),1 (0.76),5 (0.76),3 (0.8),5 (0.68),4 (0.76),3 (0.88),5 (0.68),5 (0.72),4 (0.76),4 (0.8),3 (0.72),1,"Fasttext,RoBERTa","(5, 5)",RoBERTa,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP",FALSE,TRUE
0 (0.6),1 (0.72),1 (0.84),3 (0.88),3 (0.88),1 (0.64),1 (0.64),1 (0.84),1 (0.92),0 (0.56),1 (0.84),0 (0.8),1 (0.8),1 (0.6),1 (0.52),2,MISTRAL,"(1,)",MISTRAL,"BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,FALSE
3 (0.8),3 (0.8),4 (0.84),2 (0.8),2 (0.88),2 (0.76),3 (0.76),3 (0.76),1 (0.84),3 (0.8),1 (0.84),3 (0.68),5 (0.64),3 (0.88),3 (0.88),1,XLNET,"(5,)",XLNET,"BiLSTM, CNN, KNN, LR, NB, SVM",FALSE,TRUE
3 (0.96),3 (0.72),3 (0.64),4 (0.84),3 (0.68),4 (0.8),4 (0.92),4 (0.84),1 (0.68),4 (0.8),4 (0.88),4 (0.8),4 (0.84),4 (0.88),4 (0.92),4,BERT,"(3,)",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, SVM, XGBoost",FALSE,TRUE
2 (0.88),3 (0.56),5 (0.8),5 (0.76),4 (0.76),1 (0.68),4 (0.68),3 (0.96),4 (0.84),4 (0.68),4 (0.88),4 (0.84),4 (0.84),4 (0.76),4 (0.84),1,BART,"(3,)",BART,"BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM",FALSE,TRUE
0 (0.88),1 (0.72),1 (0.8),1 (0.92),1 (0.8),1 (0.76),1 (0.8),3 (0.88),3 (0.88),1 (0.88),0 (0.8),0 (0.84),2 (0.8),1 (0.92),5 (0.8),2,BART,"(1,)",BART,"AdaBoost, BiLSTM, CNN, LR, MLP, RF, SVM",FALSE,TRUE
4 (0.8),4 (0.88),3 (0.84),3 (0.8),4 (1.0),3 (0.72),1 (0.72),3 (0.8),4 (0.8),4 (0.88),4 (0.68),4 (0.72),2 (0.92),3 (0.84),3 (0.68),4,"RoBERTa,MISTRAL","(4, 3)",RoBERTa,"AdaBoost, KNN, NB, RF, SVM",TRUE,TRUE
5 (0.92),0 (0.72),0 (0.92),3 (0.8),1 (0.88),1 (0.72),0 (0.64),0 (0.84),5 (1.0),0 (0.8),1 (0.84),2 (0.6),1 (0.64),0 (0.84),0 (0.6),2,"MISTRAL, W2V","(0, 2)",W2V,"BiLSTM, CNN, LR, MLP, RF, SVM, XGBoost",TRUE,TRUE
1 (0.92),3 (0.88),4 (0.72),1 (0.84),3 (0.84),1 (0.72),1 (0.8),1 (0.8),3 (0.72),1 (0.8),1 (0.88),1 (0.72),0 (1.0),1 (0.84),1 (0.88),2,"BERT,ELMO,Glove,W2V","(4, 1, 3, 1)",W2V,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, SVM",FALSE,FALSE
2 (0.88),1 (1.0),2 (0.76),2 (0.84),3 (0.76),1 (0.56),2 (0.68),1 (0.72),3 (0.96),3 (0.64),2 (0.8),1 (0.88),1 (0.88),2 (0.76),2 (0.88),1,ELMO,"(1,)",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
0 (0.8),5 (0.72),4 (0.72),2 (0.88),4 (0.84),1 (0.72),3 (0.72),3 (0.76),2 (0.96),4 (0.68),3 (0.68),1 (0.72),4 (0.96),4 (0.76),2 (0.8),5,"LLAMA,RoBERTa","(4, 3)",RoBERTa,"KNN, LR, MLP, RF, XGBoost",FALSE,TRUE
3 (0.8),1 (0.88),0 (0.8),2 (0.72),3 (0.72),1 (0.72),2 (0.8),1 (0.84),1 (0.8),2 (0.96),1 (0.92),4 (0.76),3 (0.8),2 (0.72),2 (0.96),3,"DistilBERT,ELECTRA,ELMO,LLAMA3","(2, 3, 1, 2)",ELECTRA,"BiLSTM, CNN, MLP, XGBoost",TRUE,TRUE
0 (0.6),0 (0.76),0 (0.64),0 (0.72),1 (0.84),0 (0.16),0 (0.52),0 (0.48),0 (0.52),0 (0.44),0 (0.48),0 (0.64),1 (0.8),0 (0.56),0 (0.48),0,ELMO,"(0,)",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
1 (0.84),3 (0.84),4 (0.8),3 (0.84),3 (0.84),1 (0.76),2 (0.6),0 (0.76),1 (0.84),1 (0.6),5 (0.68),1 (0.72),1 (0.84),1 (0.68),1 (0.72),5,"Falcon,LLAMA","(2, 1)",LLAMA,"KNN, LR, MLP, XGBoost",FALSE,TRUE
4 (0.8),4 (0.88),4 (0.84),3 (0.84),3 (0.8),4 (0.8),5 (0.88),4 (0.88),4 (0.64),4 (0.96),4 (0.84),4 (0.76),4 (0.68),4 (0.84),4 (0.8),4,Glove,"(4,)",Glove,"KNN, LR, MLP",TRUE,TRUE
4 (0.72),4 (0.76),4 (0.84),4 (0.68),3 (0.88),5 (0.8),4 (0.84),4 (0.76),3 (0.64),4 (0.72),4 (0.72),3 (0.92),4 (0.68),4 (0.84),4 (0.76),4,Glove,"(3,)",Glove,"KNN, MLP, NB, RF, XGBoost",FALSE,TRUE
3 (0.72),0 (0.88),2 (0.76),3 (0.64),3 (0.76),3 (0.84),3 (0.84),1 (0.88),1 (0.72),2 (0.76),3 (0.88),3 (0.72),3 (0.8),3 (0.76),3 (0.72),4,DistilBERT,"(3,)",DistilBERT,"BiLSTM, CNN, LR, RF, SVM",FALSE,FALSE
3 (0.8),1 (0.68),4 (0.8),3 (0.72),4 (0.92),1 (0.64),5 (0.68),1 (0.76),3 (0.8),1 (0.76),1 (0.6),5 (0.72),1 (0.76),5 (0.84),1 (0.88),5,RoBERTa,"(1,)",RoBERTa,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM",FALSE,TRUE
2 (0.8),1 (0.88),0 (0.72),1 (0.72),4 (0.68),1 (0.64),4 (0.88),2 (0.68),1 (0.92),1 (0.76),1 (0.76),5 (0.72),1 (0.84),4 (0.84),4 (0.68),3,ELMO,"(1,)",ELMO,"AdaBoost, BiLSTM, CNN, NB, RF, SVM, XGBoost",FALSE,FALSE
4 (0.84),4 (0.76),4 (0.72),3 (0.8),3 (0.84),3 (0.64),5 (0.96),4 (0.8),4 (0.84),4 (0.88),4 (0.96),4 (0.72),4 (0.8),4 (0.8),3 (0.76),2,ELMO,"(3,)",ELMO,"BiLSTM, CNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,FALSE
2 (0.8),1 (0.88),1 (0.92),1 (0.88),1 (0.68),2 (0.88),1 (0.84),2 (0.72),2 (0.84),1 (0.72),1 (0.88),2 (0.8),0 (0.84),0 (0.88),3 (0.84),1,ELECTRA,"(1,)",ELECTRA,"BiLSTM, CNN, KNN, LR, RF, SVM, XGBoost",TRUE,TRUE
0 (0.84),1 (0.84),1 (0.8),0 (0.92),1 (0.64),0 (0.52),0 (0.96),0 (0.76),0 (0.96),1 (0.92),1 (0.8),0 (0.88),1 (0.84),1 (0.92),1 (0.72),1,ELMO,"(0,)",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, XGBoost",FALSE,TRUE
4 (0.88),3 (0.88),1 (0.76),1 (0.96),3 (0.84),5 (0.72),4 (0.84),5 (0.8),1 (0.76),1 (0.88),4 (0.68),3 (0.76),4 (0.88),4 (0.8),4 (0.8),3,RoBERTa,"(4,)",RoBERTa,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, XGBoost",FALSE,TRUE
2 (0.8),3 (0.84),4 (0.88),4 (0.88),4 (0.8),5 (0.72),4 (0.84),4 (0.72),4 (0.8),4 (0.76),4 (0.76),3 (0.76),4 (0.88),4 (0.88),4 (0.84),5,"ELMO,Fasttext","(5, 4)",ELMO,"BiLSTM, CNN, LR, MLP, SVM, XGBoost",TRUE,TRUE
1 (0.76),4 (0.68),4 (0.8),2 (0.96),0 (0.92),1 (0.8),3 (0.92),2 (0.76),3 (0.84),2 (0.72),1 (0.88),4 (0.84),2 (0.76),3 (0.76),3 (0.76),5,BART,"(4,)",BART,"KNN, RF, XGBoost",FALSE,FALSE
1 (0.88),3 (0.76),0 (0.72),0 (0.88),3 (0.88),3 (0.8),1 (0.84),1 (0.8),3 (0.72),3 (0.68),3 (0.84),1 (0.8),1 (0.6),1 (0.8),0 (0.76),5,XLNET,"(1,)",XLNET,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,FALSE
1 (0.8),5 (0.72),1 (0.92),1 (0.88),1 (0.68),1 (0.96),1 (0.72),1 (0.84),3 (0.8),1 (0.72),1 (0.84),4 (0.76),1 (0.88),1 (0.8),1 (0.64),2,MISTRAL,"(1,)",MISTRAL,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, SVM, XGBoost",FALSE,FALSE
1 (0.88),1 (0.8),5 (0.6),5 (0.88),3 (0.84),1 (0.84),1 (0.68),1 (0.84),3 (0.88),3 (0.76),3 (0.84),1 (0.8),1 (0.92),5 (0.84),5 (0.68),5,BERT,"(5,)",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",TRUE,TRUE
5 (0.84),3 (0.84),5 (0.88),1 (0.84),1 (0.76),1 (0.8),1 (0.72),2 (0.92),4 (0.92),1 (0.92),3 (0.8),1 (0.92),1 (0.8),1 (0.92),1 (0.8),4,Falcon,"(1,)",Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, SVM, XGBoost",FALSE,TRUE
4 (0.76),3 (0.88),4 (0.72),1 (0.88),4 (0.8),3 (0.96),3 (0.8),4 (0.84),1 (0.84),4 (0.84),3 (0.68),3 (0.92),1 (0.84),3 (0.64),3 (0.76),3,LLAMA3,"(3,)",LLAMA3,"BiLSTM, CNN, LR, MLP, NB, RF, SVM",TRUE,TRUE
4 (0.8),4 (0.8),4 (0.8),4 (0.84),5 (0.72),4 (0.76),4 (0.76),4 (0.68),4 (0.88),5 (0.84),4 (0.8),4 (0.8),5 (0.64),4 (0.72),4 (0.84),5,XLNET,"(5,)",XLNET,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM",TRUE,TRUE
3 (0.72),3 (0.8),5 (1.0),3 (0.76),4 (0.84),4 (0.8),3 (0.84),4 (0.72),3 (0.76),3 (0.6),3 (0.88),3 (0.76),5 (0.8),4 (0.88),3 (0.72),1,LLAMA,"(3,)",LLAMA,"BiLSTM, CNN, KNN, MLP, NB, RF, SVM, XGBoost",FALSE,FALSE
4 (0.64),4 (0.76),3 (0.68),3 (0.76),1 (0.72),4 (0.72),4 (0.84),5 (0.84),4 (0.52),4 (0.84),5 (0.84),4 (0.84),3 (0.8),4 (0.8),4 (0.84),4,Glove,"(4,)",Glove,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
2 (0.76),1 (0.88),5 (0.96),2 (0.8),3 (0.92),1 (0.92),5 (0.88),3 (0.8),1 (0.76),5 (0.84),4 (0.88),2 (0.52),2 (0.88),0 (0.68),5 (0.84),4,W2V,"(2,)",W2V,"KNN, SVM",FALSE,TRUE
1 (0.64),1 (0.72),1 (0.68),1 (0.84),1 (0.64),1 (0.32),1 (0.8),1 (0.76),3 (0.8),1 (0.44),1 (0.56),1 (0.84),1 (0.8),1 (0.52),1 (0.44),1,ELMO,"(1,)",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
1 (0.64),3 (0.72),1 (0.48),1 (0.68),3 (0.76),1 (0.6),1 (0.76),3 (0.8),1 (0.76),1 (0.8),2 (0.84),2 (0.64),1 (0.8),1 (0.8),2 (0.8),2,BERT,"(1,)",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,TRUE
1 (0.8),1 (0.76),3 (0.84),2 (0.76),0 (0.88),2 (0.8),1 (0.92),2 (0.76),1 (0.76),1 (0.76),1 (0.92),2 (0.72),1 (0.76),2 (0.76),2 (0.8),2,W2V,"(2,)",W2V,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
0 (0.72),2 (0.88),1 (0.84),5 (0.76),5 (0.84),4 (0.76),5 (0.76),4 (0.68),5 (0.84),5 (0.8),5 (0.84),5 (0.88),1 (0.68),5 (0.76),5 (0.8),2,"Fasttext,XLNET","(4, 1)",XLNET,"AdaBoost, BiLSTM, CNN, LR, NB, SVM, XGBoost",FALSE,TRUE
3 (0.72),4 (0.6),3 (0.92),1 (0.8),1 (0.8),1 (1.0),1 (0.88),3 (0.92),1 (0.6),1 (0.8),1 (0.76),1 (0.76),1 (0.8),1 (0.88),4 (0.72),4,"BART,Glove","(4, 1)",BART,"AdaBoost, BiLSTM, CNN, LR, RF, SVM, XGBoost",TRUE,TRUE
1 (0.92),4 (0.84),4 (0.8),5 (0.72),3 (0.84),3 (0.76),1 (0.84),1 (0.72),3 (0.76),3 (0.6),5 (0.96),4 (0.84),1 (0.8),3 (0.76),3 (0.8),1,LLAMA,"(3,)",LLAMA,"KNN, LR, XGBoost",FALSE,TRUE
0 (0.8),3 (0.88),5 (0.68),5 (0.84),1 (0.88),5 (0.76),1 (0.72),1 (0.88),5 (0.72),1 (0.64),2 (0.92),5 (0.92),1 (0.84),2 (0.64),1 (0.92),3,"LLAMA,LLAMA3","(1, 2)",LLAMA,"BiLSTM, CNN, KNN, LR, MLP, SVM, XGBoost",FALSE,TRUE
2 (0.88),1 (0.84),2 (0.96),2 (0.8),3 (0.84),1 (0.84),1 (0.68),3 (0.8),1 (0.72),0 (0.92),2 (0.8),2 (0.8),1 (0.92),1 (0.84),2 (0.76),5,Falcon,"(1,)",Falcon,"AdaBoost, KNN, LR, RF, SVM, XGBoost",FALSE,FALSE
4 (0.88),1 (0.92),3 (0.6),3 (0.92),1 (0.88),1 (0.88),1 (0.88),3 (0.8),1 (0.84),1 (0.88),1 (0.76),4 (0.6),1 (0.84),1 (0.88),3 (0.84),3,"BERT,W2V","(3, 4)",BERT,"BiLSTM, CNN, KNN, LR",TRUE,TRUE
3 (0.68),3 (0.88),1 (0.8),3 (0.8),1 (0.8),3 (0.76),1 (0.84),3 (0.76),1 (0.64),4 (0.92),4 (0.64),3 (0.92),0 (0.84),4 (0.88),3 (0.76),4,"Glove,RoBERTa","(1, 4)",RoBERTa,"BiLSTM, CNN, KNN, MLP, XGBoost",TRUE,TRUE
2 (0.92),3 (0.68),1 (0.88),1 (0.96),1 (0.8),0 (0.68),1 (0.72),1 (0.88),5 (0.88),1 (0.8),1 (0.8),1 (0.84),0 (0.84),1 (0.6),2 (0.64),3,LLAMA3,"(1,)",LLAMA3,"BiLSTM, CNN, KNN, RF, SVM, XGBoost",FALSE,TRUE
1 (0.88),3 (0.88),1 (0.84),1 (0.76),1 (0.88),1 (0.8),2 (0.8),1 (0.76),0 (0.8),1 (0.76),1 (0.8),1 (0.8),1 (0.92),1 (0.64),1 (0.72),4,LLAMA3,"(1,)",LLAMA3,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, RF, SVM, XGBoost",FALSE,FALSE
3 (0.92),4 (0.96),4 (0.88),4 (0.96),4 (0.68),4 (0.84),4 (0.8),4 (0.84),3 (0.84),5 (0.84),4 (0.68),4 (0.8),5 (0.84),4 (0.8),3 (0.72),4,"ELECTRA,RoBERTa","(4, 4)",ELECTRA,"BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
